Site Time,Elkor Production Meter Kilowatt hours,Site Performance Estimate Kilowatt hours
5/19/2022 0:00,-0.011,0
5/19/2022 0:05,-0.01,0
5/19/2022 0:10,-0.015,0
5/19/2022 0:15,-0.007,0
5/19/2022 0:20,-0.011,0
5/19/2022 0:25,-0.011,0
5/19/2022 0:30,-0.01,0
5/19/2022 0:35,-0.015,0
5/19/2022 0:40,-0.008,0
5/19/2022 0:45,-0.01,0
5/19/2022 0:50,-0.011,0
5/19/2022 0:55,-0.009,0
5/19/2022 1:00,-0.013,0
5/19/2022 1:05,-0.011,0
5/19/2022 1:10,-0.011,0
5/19/2022 1:15,-0.009,0
5/19/2022 1:20,-0.013,0
5/19/2022 1:25,-0.012,0
5/19/2022 1:30,-0.01,0
5/19/2022 1:35,-0.011,0
5/19/2022 1:40,-0.01,0
5/19/2022 1:45,-0.009,0
5/19/2022 1:50,-0.011,0
5/19/2022 1:55,-0.012,0
5/19/2022 2:00,-0.009,0
5/19/2022 2:05,-0.015,0
5/19/2022 2:10,-0.01,0
5/19/2022 2:15,-0.009,0
5/19/2022 2:20,-0.012,0
5/19/2022 2:25,-0.009,0
5/19/2022 2:30,-0.015,0
5/19/2022 2:35,-0.01,0
5/19/2022 2:40,-0.009,0
5/19/2022 2:45,-0.012,0
5/19/2022 2:50,-0.012,0
5/19/2022 2:55,-0.009,0
5/19/2022 3:00,-0.013,0
5/19/2022 3:05,-0.009,0
5/19/2022 3:10,-0.012,0
5/19/2022 3:15,-0.012,0
5/19/2022 3:20,-0.011,0
5/19/2022 3:25,-0.011,0
5/19/2022 3:30,-0.009,0
5/19/2022 3:35,-0.011,0
5/19/2022 3:40,-0.012,0
5/19/2022 3:45,-0.011,0
5/19/2022 3:50,-0.01,0
5/19/2022 3:55,-0.012,0
5/19/2022 4:00,-0.01,0
5/19/2022 4:05,-0.007,0
5/19/2022 4:10,-0.014,0
5/19/2022 4:15,-0.007,0
5/19/2022 4:20,-0.012,0
5/19/2022 4:25,-0.01,0
5/19/2022 4:30,-0.015,0
5/19/2022 4:35,-0.008,0
5/19/2022 4:40,-0.011,0
5/19/2022 4:45,-0.008,0
5/19/2022 4:50,-0.014,0
5/19/2022 4:55,-0.009,0
5/19/2022 5:00,-0.008,0
5/19/2022 5:05,-0.013,0
